"year","state","y"
2005,"U.S.",22014434
2006,"U.S.",21699071
2007,"U.S.",23103793
2008,"U.S.",23277008
2009,"U.S.",22910078
2010,"U.S.",24086797
2011,"U.S.",24477425
2012,"U.S.",25538487
2013,"U.S.",26155071
2014,"U.S.",26593375
2015,"U.S.",27243858
2016,"U.S.",27444220
2017,"U.S.",27139699
2018,"U.S.",30138930
2019,"U.S.",31099061
2020,"U.S.",30482049
1997,"Utah",165253
1998,"Utah",169776
1999,"Utah",159889
2000,"Utah",164557
2001,"Utah",159299
2002,"Utah",163379
2003,"Utah",154125
2004,"Utah",155891
2005,"Utah",160275
2006,"Utah",187399
2007,"Utah",219700
2008,"Utah",224188
2009,"Utah",214220
2010,"Utah",219213
2011,"Utah",222227
2012,"Utah",223039
2013,"Utah",247285
2014,"Utah",241737
2015,"Utah",232612
2016,"Utah",240114
2017,"Utah",221834
2018,"Utah",244058
2019,"Utah",264046
1997,"Vermont",8061
1998,"Vermont",7735
1999,"Vermont",8033
2000,"Vermont",10426
2001,"Vermont",7919
2002,"Vermont",8367
2003,"Vermont",8400
2004,"Vermont",8685
2005,"Vermont",8372
2006,"Vermont",8056
2007,"Vermont",8867
2008,"Vermont",8624
2009,"Vermont",8638
2010,"Vermont",8443
2011,"Vermont",8611
2012,"Vermont",8191
2013,"Vermont",9602
2014,"Vermont",10677
2015,"Vermont",11950
2016,"Vermont",12094
2017,"Vermont",11926
2018,"Vermont",13742
2019,"Vermont",13866
1997,"Virginia",248960
1998,"Virginia",260332
1999,"Virginia",276793
2000,"Virginia",268770
2001,"Virginia",237853
2002,"Virginia",258202
2003,"Virginia",262970
2004,"Virginia",277434
2005,"Virginia",299746
2006,"Virginia",274175
2007,"Virginia",319913
2008,"Virginia",299364
2009,"Virginia",319134
2010,"Virginia",375421
2011,"Virginia",373444
2012,"Virginia",410106
2013,"Virginia",418506
2014,"Virginia",419705
2015,"Virginia",500477
2016,"Virginia",543343
2017,"Virginia",566676
2018,"Virginia",634162
2019,"Virginia",684597
1997,"Washington",256366
1998,"Washington",290229
1999,"Washington",287302
2000,"Washington",286653
2001,"Washington",312114
2002,"Washington",233716
2003,"Washington",249599
2004,"Washington",262485
2005,"Washington",264754
2006,"Washington",263395
2007,"Washington",272613
2008,"Washington",298140
2009,"Washington",310428
2010,"Washington",285726
2011,"Washington",264589
2012,"Washington",264540
2013,"Washington",318292
2014,"Washington",306675
2015,"Washington",307735
2016,"Washington",301418
2017,"Washington",324882
2018,"Washington",307985
2019,"Washington",345210
1997,"West Virginia",159504
1998,"West Virginia",142860
1999,"West Virginia",139961
2000,"West Virginia",147854
2001,"West Virginia",141090
2002,"West Virginia",146455
2003,"West Virginia",126986
2004,"West Virginia",122267
2005,"West Virginia",117136
2006,"West Virginia",113084
2007,"West Virginia",115974
2008,"West Virginia",111480
2009,"West Virginia",109652
2010,"West Virginia",113179
2011,"West Virginia",115361
2012,"West Virginia",129753
2013,"West Virginia",142082
2014,"West Virginia",165341
2015,"West Virginia",174165
2016,"West Virginia",171825
2017,"West Virginia",184025
2018,"West Virginia",202934
2019,"West Virginia",218282
1997,"Wisconsin",400651
1998,"Wisconsin",368022
1999,"Wisconsin",380560
2000,"Wisconsin",393601
2001,"Wisconsin",359784
2002,"Wisconsin",385310
2003,"Wisconsin",394711
2004,"Wisconsin",383316
2005,"Wisconsin",410250
2006,"Wisconsin",372462
2007,"Wisconsin",398370
2008,"Wisconsin",409377
2009,"Wisconsin",387066
2010,"Wisconsin",372898
2011,"Wisconsin",393734
2012,"Wisconsin",402656
2013,"Wisconsin",442544
2014,"Wisconsin",463186
2015,"Wisconsin",457743
2016,"Wisconsin",482233
2017,"Wisconsin",487732
2018,"Wisconsin",543025
2019,"Wisconsin",576650
1997,"Wyoming",100950
1998,"Wyoming",109188
1999,"Wyoming",96726
2000,"Wyoming",101314
2001,"Wyoming",98569
2002,"Wyoming",112872
2003,"Wyoming",115358
2004,"Wyoming",107060
2005,"Wyoming",108314
2006,"Wyoming",108481
2007,"Wyoming",140912
2008,"Wyoming",142705
2009,"Wyoming",142793
2010,"Wyoming",150106
2011,"Wyoming",156455
2012,"Wyoming",153333
2013,"Wyoming",149820
2014,"Wyoming",136796
2015,"Wyoming",119265
2016,"Wyoming",123351
2017,"Wyoming",149405
2018,"Wyoming",165384
2019,"Wyoming",154836
